BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
Brooklyn,CANARSIE,02  TWO FAMILY HOMES,1,8251,18,,B1,10532 AVENUE K,,11236,2,0,2,2550,2760,1960,1,B1,250000,2004-08-02
Brooklyn,CLINTON HILL,07  RENTALS - WALKUP APARTMENTS,2A,1918,4,,C2,301 WASHINGTON AVENUE,,11205,5,0,5,4075,5600,1905,2,C2,0,2004-09-03
Brooklyn,CROWN HEIGHTS,01  ONE FAMILY HOMES,1,1291,68,,A4,375 CROWN STREET,,11225,1,0,1,3194,3524,1935,1,A4,455000,2004-01-23
Brooklyn,EAST NEW YORK,02  TWO FAMILY HOMES,1,4320,57,,B2,719 ALABAMA AVENUE,,11207,2,0,2,2400,2320,1925,1,B2,0,2004-04-30
Brooklyn,FLATBUSH-NORTH,03  THREE FAMILY HOMES,1,4803,45,,C0,564 KINGSTON AVENUE,,11203,3,0,3,1952,3936,1915,1,C0,395000,2004-03-05
Brooklyn,BEDFORD STUYVESANT,02  TWO FAMILY HOMES,1,1638,40,,B3,976A GATES AVENUE,,11221,2,0,2,2000,1800,1899,1,B3,575000,2005-03-24
Brooklyn,BUSH TERMINAL,03  THREE FAMILY HOMES,1,781,30,,C0,258 49 STREET,,11220,3,0,3,2003,2232,1910,1,C0,485000,2005-10-11
Brooklyn,BUSH TERMINAL,03  THREE FAMILY HOMES,1,781,30,,C0,258 49 STREET,,11220,3,0,3,2003,2232,1910,1,C0,350000,2005-09-21
Brooklyn,CANARSIE,02  TWO FAMILY HOMES,1,8037,36,,B1,1001 EAST 85 STREET,,11236,2,0,2,3000,2440,2003,1,B1,0,2005-05-03
Brooklyn,CANARSIE,02  TWO FAMILY HOMES,1,8037,36,,B1,1001 EAST 85TH STREET,,11236,2,0,2,3000,2440,2003,1,B1,630000,2005-04-22
Brooklyn,CANARSIE,02  TWO FAMILY HOMES,1,8251,18,,B1,105-32 AVENUE K,,11236,2,0,2,2550,2760,1960,1,B1,0,2005-08-06
Brooklyn,EAST NEW YORK,29  COMMERCIAL GARAGES,1,4030,31,,A1,WARWICK STREET,,11207,1,0,1,1130,1796,2005,4,G7,70000,2005-01-28
Brooklyn,FLATBUSH-NORTH,03  THREE FAMILY HOMES,1,4667,24,,C0,396 EAST 93 STREET,,11212,3,0,3,1880,1627,1950,1,C0,479480,2005-05-27
Brooklyn,FLATBUSH-NORTH,03  THREE FAMILY HOMES,1,4803,45,,C0,564 KINGSTON AVENUE,,11203,3,0,3,1952,3936,1915,1,C0,499999,2005-02-10
Brooklyn,OCEAN HILL,05  TAX CLASS 1 VACANT LAND,1,1513,28,,C0,306 CHAUNCEY STREET,,11233,3,0,3,2500,4870,2005,1,V0,120000,2005-01-28
Brooklyn,RED HOOK,27  FACTORIES,4,534,16,,F9,18 HUNTINGTON STREET,,11231,0,1,1,2000,3600,1921,4,F9,0,2005-06-06
Manhattan,CHELSEA,03  THREE FAMILY HOMES,1,764,15,,C0,241 WEST 14 STREET,,10011,3,0,3,3011,7830,1930,1,C0,8250000,2006-11-21
Manhattan,MIDTOWN CBD,13  CONDOS - ELEVATOR APARTMENTS,2,1287,1040,,R4,641 5 AVENUE,26H,10022,1,0,1,0,0,0,2,R4,0,2006-01-26
Manhattan,UPPER WEST SIDE (59-79),13  CONDOS - ELEVATOR APARTMENTS,2,1171,2111,,R4,240 RIVERSIDE BOULEVARD,10A-T,10069,1,0,1,0,0,0,2,R4,3042375,2006-06-01
Brooklyn,BEDFORD STUYVESANT,02  TWO FAMILY HOMES,1,1638,40,,B3,976A GATES AVENUE,,11221,2,0,2,2000,1800,1899,1,B3,625000,2006-04-27
Brooklyn,BUSH TERMINAL,03  THREE FAMILY HOMES,1,781,30,,C0,258 49 STREET,,11220,3,0,3,2003,2232,1910,1,C0,699500,2006-02-17
